"frontline_level","band","level_in_band","incoming_pressure_multiplier","defense_output_multiplier","pressure_capacity_multiplier","progress_requirement_multiplier","reward_multiplier","sample_push_pressure_per_second","sample_base_defense_per_second","sample_push_gold_per_minute","sample_push_scrap_per_minute","milestone_gold","milestone_scrap","next_band_level"
"236","24","5","135663.958608","5789.173612","2755.028315","14028.42683","14028.42683","1763631.462","75259.257","483980.726","64530.763","0","0","241"
"237","24","6","142698.386091","5917.821914","2846.862592","14589.563903","14589.563903","1855079.019","76931.685","503339.955","67111.994","0","0","241"
"238","24","7","149732.813575","6046.470217","2938.696869","15150.700976","15150.700976","1946526.576","78604.113","522699.184","69693.224","0","0","241"
"239","24","8","156767.241058","6175.118519","3030.531146","15711.83805","15711.83805","2037974.134","80276.541","542058.413","72274.455","0","0","241"
"240","24","9","163801.668542","6303.766822","3122.365423","16272.975123","16272.975123","2129421.691","81948.969","561417.642","74855.686","0","0","241"
"241","25","0","165811.504965","7461.601544","3214.1997","16834.112196","16834.112196","2155549.565","97000.82","580776.871","77436.916","5942113","792282","251"
"242","25","1","177418.310313","7648.141583","3342.767688","17675.817806","17675.817806","2306438.034","99425.841","609815.714","81308.762","0","0","251"
"243","25","2","189025.115661","7834.681622","3471.335676","18517.523416","18517.523416","2457326.504","101850.861","638854.558","85180.608","0","0","251"
"244","25","3","200631.921008","8021.22166","3599.903664","19359.229025","19359.229025","2608214.973","104275.882","667893.401","89052.454","0","0","251"
"245","25","4","212238.726356","8207.761699","3728.471652","20200.934635","20200.934635","2759103.443","106700.902","696932.245","92924.299","0","0","251"
"246","25","5","223845.531703","8394.301737","3857.039641","21042.640245","21042.640245","2909991.912","109125.923","725971.088","96796.145","0","0","251"
"247","25","6","235452.337051","8580.841776","3985.607629","21884.345855","21884.345855","3060880.382","111550.943","755009.932","100667.991","0","0","251"
"248","25","7","247059.142398","8767.381815","4114.175617","22726.051465","22726.051465","3211768.851","113975.964","784048.776","104539.837","0","0","251"
"249","25","8","258665.947746","8953.921853","4242.743605","23567.757074","23567.757074","3362657.321","116400.984","813087.619","108411.683","0","0","251"
"250","25","9","270272.753094","9140.461892","4371.311593","24409.462684","24409.462684","3513545.79","118826.005","842126.463","112283.528","0","0","251"
"251","26","0","273588.983193","10819.322239","4499.879581","25251.168294","25251.168294","3556656.782","140651.189","871165.306","116155.374","9507380","1267651","261"
"252","26","1","292740.212016","11089.805295","4679.874764","26513.726709","26513.726709","3805622.756","144167.469","914723.571","121963.143","0","0","261"
"253","26","2","311891.44084","11360.288351","4859.869947","27776.285123","27776.285123","4054588.731","147683.749","958281.837","127770.912","0","0","261"
"254","26","3","331042.669663","11630.771407","5039.86513","29038.843538","29038.843538","4303554.706","151200.028","1001840.102","133578.68","0","0","261"
"255","26","4","350193.898487","11901.254463","5219.860313","30301.401953","30301.401953","4552520.68","154716.308","1045398.367","139386.449","0","0","261"
"256","26","5","369345.12731","12171.737519","5399.855497","31563.960368","31563.960368","4801486.655","158232.588","1088956.633","145194.218","0","0","261"
"257","26","6","388496.356134","12442.220575","5579.85068","32826.518782","32826.518782","5050452.63","161748.867","1132514.898","151001.986","0","0","261"
"258","26","7","407647.584958","12712.703631","5759.845863","34089.077197","34089.077197","5299418.604","165265.147","1176073.163","156809.755","0","0","261"
"259","26","8","426798.813781","12983.186687","5939.841046","35351.635612","35351.635612","5548384.579","168781.427","1219631.429","162617.524","0","0","261"
"260","26","9","445950.042605","13253.669743","6119.83623","36614.194026","36614.194026","5797350.554","172297.707","1263189.694","168425.293","0","0","261"
"261","27","0","451421.822268","15688.017247","6299.831413","37876.752441","37876.752441","5868483.689","203944.224","1306747.959","174233.061","15211808","2028241","271"
"262","27","1","483021.349827","16080.217678","6551.824669","39770.590063","39770.590063","6279277.548","209042.83","1372085.357","182944.714","0","0","271"
"263","27","2","514620.877386","16472.418109","6803.817926","41664.427685","41664.427685","6690071.406","214141.435","1437422.755","191656.367","0","0","271"
"264","27","3","546220.404945","16864.61854","7055.811182","43558.265307","43558.265307","7100865.264","219240.041","1502760.153","200368.02","0","0","271"
"265","27","4","577819.932504","17256.818972","7307.804439","45452.102929","45452.102929","7511659.123","224338.647","1568097.551","209079.673","0","0","271"
"266","27","5","609419.460062","17649.019403","7559.797695","47345.940551","47345.940551","7922452.981","229437.252","1633434.949","217791.327","0","0","271"
"267","27","6","641018.987621","18041.219834","7811.790952","49239.778173","49239.778173","8333246.839","234535.858","1698772.347","226502.98","0","0","271"
"268","27","7","672618.51518","18433.420265","8063.784208","51133.615795","51133.615795","8744040.697","239634.463","1764109.745","235214.633","0","0","271"
"269","27","8","704218.042739","18825.620696","8315.777465","53027.453417","53027.453417","9154834.556","244733.069","1829447.143","243926.286","0","0","271"
"270","27","9","735817.570297","19217.821127","8567.770721","54921.29104","54921.29104","9565628.414","249831.675","1894784.541","252637.939","0","0","271"
"271","28","0","744846.006743","22747.625008","8819.763978","56815.128662","56815.128662","9682998.088","295719.125","1960121.939","261349.592","24338892","3245186","281"
"272","28","1","796985.227215","23316.315633","9172.554537","59655.885095","59655.885095","10360807.954","303112.103","2058128.036","274417.071","0","0","281"
"273","28","2","849124.447687","23885.006258","9525.345096","62496.641528","62496.641528","11038617.82","310505.081","2156134.133","287484.551","0","0","281"
"274","28","3","901263.668159","24453.696884","9878.135655","65337.397961","65337.397961","11716427.686","317898.059","2254140.23","300552.031","0","0","281"
"275","28","4","953402.888631","25022.387509","10230.926214","68178.154394","68178.154394","12394237.552","325291.038","2352146.327","313619.51","0","0","281"
"276","28","5","1005542.109103","25591.078134","10583.716774","71018.910827","71018.910827","13072047.418","332684.016","2450152.424","326686.99","0","0","281"
"277","28","6","1057681.329575","26159.768759","10936.507333","73859.66726","73859.66726","13749857.284","340076.994","2548158.52","339754.469","0","0","281"
"278","28","7","1109820.550047","26728.459384","11289.297892","76700.423693","76700.423693","14427667.151","347469.972","2646164.617","352821.949","0","0","281"
"279","28","8","1161959.770519","27297.15001","11642.088451","79541.180126","79541.180126","15105477.017","354862.95","2744170.714","365889.429","0","0","281"
"280","28","9","1214098.990991","27865.840635","11994.87901","82381.936559","82381.936559","15783286.883","362255.928","2842176.811","378956.908","0","0","281"
"281","29","0","1228995.911126","32984.056262","12347.669569","85222.692992","85222.692992","15976946.845","428792.731","2940182.908","392024.388","38942227","5192297","291"
"282","29","1","1315025.624904","33808.657668","12841.576352","89483.827642","89483.827642","17095333.124","439512.55","3087192.054","411625.607","0","0","291"
"283","29","2","1401055.338683","34633.259075","13335.483135","93744.962292","93744.962292","18213719.403","450232.368","3234201.199","431226.827","0","0","291"
"284","29","3","1487085.052462","35457.860481","13829.389917","98006.096941","98006.096941","19332105.682","460952.186","3381210.344","450828.046","0","0","291"
"285","29","4","1573114.766241","36282.461888","14323.2967","102267.231591","102267.231591","20450491.961","471672.005","3528219.49","470429.265","0","0","291"
"286","29","5","1659144.48002","37107.063294","14817.203483","106528.36624","106528.36624","21568878.24","482391.823","3675228.635","490030.485","0","0","291"
"287","29","6","1745174.193798","37931.664701","15311.110266","110789.50089","110789.50089","22687264.519","493111.641","3822237.781","509631.704","0","0","291"
"288","29","7","1831203.907577","38756.266107","15805.017048","115050.63554","115050.63554","23805650.799","503831.459","3969246.926","529232.923","0","0","291"
"289","29","8","1917233.621356","39580.867514","16298.923831","119311.770189","119311.770189","24924037.078","514551.278","4116256.072","548834.143","0","0","291"
"290","29","9","2003263.335135","40405.46892","16792.830614","123572.904839","123572.904839","26042423.357","525271.096","4263265.217","568435.362","0","0","291"
"291","30","0","2027843.253357","47826.881579","17286.737397","127834.039489","127834.039489","26361962.294","621749.461","4410274.362","588036.582","62307563","8307675","301"
"292","30","1","2169792.281092","49022.553619","17978.206893","134225.741463","134225.741463","28207299.654","637293.197","4630788.08","617438.411","0","0","301"
"293","30","2","2311741.308827","50218.225658","18669.676389","140617.443437","140617.443437","30052637.015","652836.934","4851301.799","646840.24","0","0","301"
"294","30","3","2453690.336562","51413.897698","19361.145884","147009.145412","147009.145412","31897974.375","668380.67","5071815.517","676242.069","0","0","301"
"295","30","4","2595639.364297","52609.569737","20052.61538","153400.847386","153400.847386","33743311.736","683924.407","5292329.235","705643.898","0","0","301"
"296","30","5","2737588.392032","53805.241777","20744.084876","159792.549361","159792.549361","35588649.096","699468.143","5512842.953","735045.727","0","0","301"
"297","30","6","2879537.419767","55000.913816","21435.554372","166184.251335","166184.251335","37433986.457","715011.88","5733356.671","764447.556","0","0","301"
"298","30","7","3021486.447502","56196.585856","22127.023868","172575.95331","172575.95331","39279323.818","730555.616","5953870.389","793849.385","0","0","301"
"299","30","8","3163435.475237","57392.257895","22818.493364","178967.655284","178967.655284","41124661.178","746099.353","6174384.107","823251.214","0","0","301"
"300","30","9","3305384.502973","58587.929935","23509.96286","185359.357258","185359.357258","42969998.539","761643.089","6394897.825","852653.043","0","0","301"
"301","31","0","3345941.36804","69348.97829","24201.432355","191751.059233","191751.059233","43497237.785","901536.718","6615411.544","882054.872","99692100","13292280","311"
"302","31","1","3580157.263802","71082.702747","25169.48965","201338.612195","201338.612195","46542044.429","924075.136","6946182.121","926157.616","0","0","311"
"303","31","2","3814373.159565","72816.427205","26137.546944","210926.165156","210926.165156","49586851.074","946613.554","7276952.698","970260.36","0","0","311"
"304","31","3","4048589.055328","74550.151662","27105.604238","220513.718118","220513.718118","52631657.719","969151.972","7607723.275","1014363.103","0","0","311"
"305","31","4","4282804.951091","76283.876119","28073.661532","230101.271079","230101.271079","55676464.364","991690.39","7938493.852","1058465.847","0","0","311"
"306","31","5","4517020.846854","78017.600576","29041.718827","239688.824041","239688.824041","58721271.009","1014228.807","8269264.429","1102568.591","0","0","311"
"307","31","6","4751236.742616","79751.325034","30009.776121","249276.377003","249276.377003","61766077.654","1036767.225","8600035.007","1146671.334","0","0","311"
"308","31","7","4985452.638379","81485.049491","30977.833415","258863.929964","258863.929964","64810884.299","1059305.643","8930805.584","1190774.078","0","0","311"
"309","31","8","5219668.534142","83218.773948","31945.890709","268451.482926","268451.482926","67855690.944","1081844.061","9261576.161","1234876.821","0","0","311"
"310","31","9","5453884.429905","84952.498405","32913.948003","278039.035888","278039.035888","70900497.589","1104382.479","9592346.738","1278979.565","0","0","311"
"311","32","0","5520803.257265","100556.018521","33882.005298","287626.588849","287626.588849","71770442.344","1307228.241","9923117.315","1323082.309","159507360","21267648","321"
"312","32","1","5907259.485274","103069.918984","35237.28551","302007.918292","302007.918292","76794373.309","1339908.947","10419273.181","1389236.424","0","0","321"
"313","32","2","6293715.713283","105583.819447","36592.565721","316389.247734","316389.247734","81818304.273","1372589.653","10915429.047","1455390.54","0","0","321"
"314","32","3","6680171.941291","108097.71991","37947.845933","330770.577177","330770.577177","86842235.237","1405270.359","11411584.913","1521544.655","0","0","321"
"315","32","4","7066628.1693","110611.620373","39303.126145","345151.906619","345151.906619","91866166.201","1437951.065","11907740.778","1587698.77","0","0","321"
"316","32","5","7453084.397308","113125.520836","40658.406357","359533.236062","359533.236062","96890097.165","1470631.771","12403896.644","1653852.886","0","0","321"
"317","32","6","7839540.625317","115639.421299","42013.686569","373914.565504","373914.565504","101914028.129","1503312.477","12900052.51","1720007.001","0","0","321"
"318","32","7","8225996.853325","118153.321762","43368.966781","388295.894947","388295.894947","106937959.093","1535993.183","13396208.376","1786161.117","0","0","321"
"319","32","8","8612453.081334","120667.222225","44724.246993","402677.224389","402677.224389","111961890.057","1568673.889","13892364.241","1852315.232","0","0","321"
"320","32","9","8998909.309343","123181.122688","46079.527205","417058.553832","417058.553832","116985821.021","1601354.595","14388520.107","1918469.348","0","0","321"
"321","33","0","9109325.374488","145806.226855","47434.807417","431439.883274","431439.883274","118421229.868","1895480.949","14884675.973","1984623.463","255211776","34028237","331"
"322","33","1","9746978.150702","149451.382526","49332.199713","453011.877438","453011.877438","126710715.959","1942867.973","15628909.772","2083854.636","0","0","331"
"323","33","2","10384630.926916","153096.538198","51229.59201","474583.871601","474583.871601","135000202.05","1990254.997","16373143.57","2183085.809","0","0","331"
"324","33","3","11022283.70313","156741.693869","53126.984307","496155.865765","496155.865765","143289688.141","2037642.02","17117377.369","2282316.983","0","0","331"
"325","33","4","11659936.479345","160386.84954","55024.376603","517727.859929","517727.859929","151579174.231","2085029.044","17861611.168","2381548.156","0","0","331"
"326","33","5","12297589.255559","164032.005212","56921.7689","539299.854092","539299.854092","159868660.322","2132416.068","18605844.966","2480779.329","0","0","331"
"327","33","6","12935242.031773","167677.160883","58819.161197","560871.848256","560871.848256","168158146.413","2179803.091","19350078.765","2580010.502","0","0","331"
"328","33","7","13572894.807987","171322.316554","60716.553493","582443.84242","582443.84242","176447632.504","2227190.115","20094312.563","2679241.675","0","0","331"
"329","33","8","14210547.584201","174967.472226","62613.94579","604015.836584","604015.836584","184737118.595","2274577.139","20838546.362","2778472.848","0","0","331"
"330","33","9","14848200.360415","178612.627897","64511.338087","625587.830747","625587.830747","193026604.685","2321964.163","21582780.161","2877704.021","0","0","331"
"331","34","0","15030386.867905","211419.028939","66408.730383","647159.824911","647159.824911","195395029.283","2748447.376","22327013.959","2976935.195","408338841","54445179","341"
"332","34","1","16082513.948658","216704.504663","69065.079599","679517.816157","679517.816157","209072681.333","2817158.561","23443364.657","3125781.954","0","0","341"
"333","34","2","17134641.029412","221989.980386","71721.428814","711875.807402","711875.807402","222750333.382","2885869.745","24559715.355","3274628.714","0","0","341"
"334","34","3","18186768.110165","227275.45611","74377.778029","744233.798648","744233.798648","236427985.432","2954580.929","25676066.053","3423475.474","0","0","341"
"335","34","4","19238895.190919","232560.931833","77034.127245","776591.789893","776591.789893","250105637.482","3023292.114","26792416.751","3572322.234","0","0","341"
"336","34","5","20291022.271672","237846.407557","79690.47646","808949.781139","808949.781139","263783289.532","3092003.298","27908767.449","3721168.993","0","0","341"
"337","34","6","21343149.352425","243131.88328","82346.825675","841307.772384","841307.772384","277460941.582","3160714.483","29025118.147","3870015.753","0","0","341"
"338","34","7","22395276.433179","248417.359004","85003.174891","873665.76363","873665.76363","291138593.631","3229425.667","30141468.845","4018862.513","0","0","341"
"339","34","8","23447403.513932","253702.834727","87659.524106","906023.754875","906023.754875","304816245.681","3298136.851","31257819.543","4167709.272","0","0","341"
"340","34","9","24499530.594685","258988.310451","90315.873321","938381.746121","938381.746121","318493897.731","3366848.036","32374170.241","4316556.032","0","0","341"
"341","35","0","24800138.332043","306557.591962","92972.222537","970739.737366","970739.737366","322401798.317","3985248.696","33490520.939","4465402.792","653342145","87112286","351"
"342","35","1","26536148.015287","314221.531761","96691.111438","1019276.724235","1019276.724235","344969924.199","4084879.913","35165046.986","4688672.931","0","0","351"
"343","35","2","28272157.69853","321885.47156","100410.00034","1067813.711103","1067813.711103","367538050.081","4184511.13","36839573.033","4911943.071","0","0","351"
"344","35","3","30008167.381773","329549.411359","104128.889241","1116350.697971","1116350.697971","390106175.963","4284142.348","38514099.08","5135213.211","0","0","351"
"345","35","4","31744177.065016","337213.351158","107847.778143","1164887.68484","1164887.68484","412674301.845","4383773.565","40188625.127","5358483.35","0","0","351"
"346","35","5","33480186.748259","344877.290957","111566.667044","1213424.671708","1213424.671708","435242427.727","4483404.782","41863151.174","5581753.49","0","0","351"
"347","35","6","35216196.431502","352541.230757","115285.555946","1261961.658576","1261961.658576","457810553.61","4583036","43537677.221","5805023.629","0","0","351"
"348","35","7","36952206.114745","360205.170556","119004.444847","1310498.645445","1310498.645445","480378679.492","4682667.217","45212203.268","6028293.769","0","0","351"
"349","35","8","38688215.797988","367869.110355","122723.333749","1359035.632313","1359035.632313","502946805.374","4782298.435","46886729.315","6251563.909","0","0","351"
"350","35","9","40424225.481231","375533.050154","126442.22265","1407572.619181","1407572.619181","525514931.256","4881929.652","48561255.362","6474834.048","0","0","351"
"351","36","0","40920228.247872","444508.508345","130161.111552","1456109.60605","1456109.60605","531962967.222","5778610.608","50235781.409","6698104.188","1045347432","139379658","361"
"352","36","1","43784644.225223","455621.221054","135367.556014","1528915.086352","1528915.086352","569200374.928","5923075.874","52747570.479","7033009.397","0","0","361"
"353","36","2","46649060.202574","466733.933762","140574.000476","1601720.566655","1601720.566655","606437782.633","6067541.139","55259359.55","7367914.607","0","0","361"
"354","36","3","49513476.179925","477846.646471","145780.444938","1674526.046957","1674526.046957","643675190.339","6212006.404","57771148.62","7702819.816","0","0","361"
"355","36","4","52377892.157276","488959.35918","150986.8894","1747331.52726","1747331.52726","680912598.045","6356471.669","60282937.69","8037725.025","0","0","361"
"356","36","5","55242308.134627","500072.071888","156193.333862","1820137.007562","1820137.007562","718150005.75","6500936.935","62794726.761","8372630.235","0","0","361"
"357","36","6","58106724.111978","511184.784597","161399.778324","1892942.487865","1892942.487865","755387413.456","6645402.2","65306515.831","8707535.444","0","0","361"
"358","36","7","60971140.089329","522297.497306","166606.222786","1965747.968167","1965747.968167","792624821.161","6789867.465","67818304.902","9042440.654","0","0","361"
"359","36","8","63835556.06668","533410.210014","171812.667248","2038553.44847","2038553.44847","829862228.867","6934332.73","70330093.972","9377345.863","0","0","361"
"360","36","9","66699972.044031","544522.922723","177019.11171","2111358.928772","2111358.928772","867099636.572","7078797.995","72841883.043","9712251.072","0","0","361"
"361","37","0","67518376.608988","644537.337101","182225.556172","2184164.409075","2184164.409075","877738895.917","8378985.382","75353672.113","10047156.282","1672555890","223007452","371"
"362","37","1","72244662.971618","660650.770528","189514.578419","2293372.629528","2293372.629528","939180618.631","8588460.017","79121355.719","10549514.096","0","0","371"
"363","37","2","76970949.334247","676764.203956","196803.600666","2402580.849982","2402580.849982","1000622341.345","8797934.651","82889039.324","11051871.91","0","0","371"
"364","37","3","81697235.696876","692877.637383","204092.622913","2511789.070436","2511789.070436","1062064064.059","9007409.286","86656722.93","11554229.724","0","0","371"
"365","37","4","86423522.059505","708991.070811","211381.64516","2620997.290889","2620997.290889","1123505786.774","9216883.921","90424406.536","12056587.538","0","0","371"
"366","37","5","91149808.422134","725104.504238","218670.667407","2730205.511343","2730205.511343","1184947509.488","9426358.555","94192090.141","12558945.352","0","0","371"
"367","37","6","95876094.784763","741217.937666","225959.689654","2839413.731797","2839413.731797","1246389232.202","9635833.19","97959773.747","13061303.166","0","0","371"
"368","37","7","100602381.147393","757331.371093","233248.7119","2948621.952251","2948621.952251","1307830954.916","9845307.824","101727457.353","13563660.98","0","0","371"
"369","37","8","105328667.510022","773444.804521","240537.734147","3057830.172704","3057830.172704","1369272677.63","10054782.459","105495140.958","14066018.794","0","0","371"
"370","37","9","110054953.872651","789558.237948","247826.756394","3167038.393158","3167038.393158","1430714400.344","10264257.093","109262824.564","14568376.609","0","0","371"
"371","38","0","111405321.404831","934579.138796","255115.778641","3276246.613612","3276246.613612","1448269178.263","12149528.804","113030508.17","15070734.423","2147483647","356811924","381"
"372","38","1","119203693.903169","957943.617266","265320.409787","3440058.944292","3440058.944292","1549648020.741","12453267.024","118682033.578","15824271.144","0","0","381"
"373","38","2","127002066.401507","981308.095736","275525.040932","3603871.274973","3603871.274973","1651026863.22","12757005.245","124333558.987","16577807.865","0","0","381"
"374","38","3","134800438.899845","1004672.574205","285729.672078","3767683.605654","3767683.605654","1752405705.698","13060743.465","129985084.395","17331344.586","0","0","381"
"375","38","4","142598811.398183","1028037.052675","295934.303224","3931495.936334","3931495.936334","1853784548.176","13364481.685","135636609.804","18084881.307","0","0","381"
"376","38","5","150397183.896521","1051401.531145","306138.934369","4095308.267015","4095308.267015","1955163390.655","13668219.905","141288135.212","18838418.028","0","0","381"
"377","38","6","158195556.39486","1074766.009615","316343.565515","4259120.597695","4259120.597695","2056542233.133","13971958.125","146939660.62","19591954.749","0","0","381"
"378","38","7","165993928.893198","1098130.488085","326548.196661","4422932.928376","4422932.928376","2157921075.612","14275696.345","152591186.029","20345491.471","0","0","381"
"379","38","8","173792301.391536","1121494.966555","336752.827806","4586745.259057","4586745.259057","2259299918.09","14579434.565","158242711.437","21099028.192","0","0","381"
"380","38","9","181590673.889874","1144859.445025","346957.458952","4750557.589737","4750557.589737","2360678760.568","14883172.785","163894236.846","21852564.913","0","0","381"
"381","39","0","183818780.317971","1355139.751254","357162.090097","4914369.920418","4914369.920418","2389644144.134","17616816.766","169545762.254","22606101.634","2147483647","570899078","391"
"382","39","1","196686094.940229","1389018.245035","371448.573701","5160088.416439","5160088.416439","2556919234.223","18057237.185","178023050.367","23736406.716","0","0","391"
"383","39","2","209553409.562487","1422896.738817","385735.057305","5405806.91246","5405806.91246","2724194324.312","18497657.605","186500338.48","24866711.797","0","0","391"
"384","39","3","222420724.184744","1456775.232598","400021.540909","5651525.40848","5651525.40848","2891469414.402","18938078.024","194977626.593","25997016.879","0","0","391"
"385","39","4","235288038.807002","1490653.726379","414308.024513","5897243.904501","5897243.904501","3058744504.491","19378498.443","203454914.705","27127321.961","0","0","391"
"386","39","5","248155353.42926","1524532.220161","428594.508117","6142962.400522","6142962.400522","3226019594.58","19818918.862","211932202.818","28257627.042","0","0","391"
"387","39","6","261022668.051518","1558410.713942","442880.991721","6388680.896543","6388680.896543","3393294684.67","20259339.281","220409490.931","29387932.124","0","0","391"
"388","39","7","273889982.673776","1592289.207723","457167.475325","6634399.392564","6634399.392564","3560569774.759","20699759.7","228886779.043","30518237.206","0","0","391"
"389","39","8","286757297.296034","1626167.701505","471453.958929","6880117.888585","6880117.888585","3727844864.848","21140180.12","237364067.156","31648542.287","0","0","391"
"390","39","9","299624611.918292","1660046.195286","485740.442533","7125836.384606","7125836.384606","3895119954.938","21580600.539","245841355.269","32778847.369","0","0","391"
"391","40","0","303300987.524652","1964952.639318","500026.926136","7371554.880627","7371554.880627","3942912837.82","25544384.311","254318643.382","33909152.451","2147483647","913438524","401"
"392","40","1","324532056.651377","2014076.455301","520028.003182","7740132.624658","7740132.624658","4218916736.468","26182993.919","267034575.551","35604610.073","0","0","401"
"393","40","2","345763125.778103","2063200.271284","540029.080227","8108710.368689","8108710.368689","4494920635.115","26821603.527","279750507.72","37300067.696","0","0","401"
"394","40","3","366994194.904828","2112324.087267","560030.157273","8477288.112721","8477288.112721","4770924533.763","27460213.134","292466439.889","38995525.319","0","0","401"
"395","40","4","388225264.031554","2161447.90325","580031.234318","8845865.856752","8845865.856752","5046928432.41","28098822.742","305182372.058","40690982.941","0","0","401"
"396","40","5","409456333.15828","2210571.719233","600032.311364","9214443.600783","9214443.600783","5322932331.058","28737432.35","317898304.227","42386440.564","0","0","401"
"397","40","6","430687402.285005","2259695.535216","620033.388409","9583021.344815","9583021.344815","5598936229.705","29376041.958","330614236.396","44081898.186","0","0","401"
"398","40","7","451918471.411731","2308819.351199","640034.465455","9951599.088846","9951599.088846","5874940128.353","30014651.566","343330168.565","45777355.809","0","0","401"
"399","40","8","473149540.538456","2357943.167182","660035.5425","10320176.832877","10320176.832877","6150944027","30653261.173","356046100.734","47472813.431","0","0","401"
"400","40","9","494380609.665182","2407066.983165","680036.619546","10688754.576909","10688754.576909","6426947925.647","31291870.781","368762032.903","49168271.054","0","0","401"
"401","41","0","500446629.415675","2849181.327011","700037.696591","11057332.32094","11057332.32094","6505806182.404","37039357.251","381477965.072","50863728.676","2147483647","1461501638","411"
"402","41","1","535477893.474772","2920410.860187","728039.204455","11610198.936987","11610198.936987","6961212615.172","37965341.182","400551863.326","53406915.11","0","0","411"
"403","41","2","570509157.53387","2991640.393362","756040.712318","12163065.553034","12163065.553034","7416619047.94","38891325.114","419625761.58","55950101.544","0","0","411"
"404","41","3","605540421.592967","3062869.926537","784042.220182","12715932.169081","12715932.169081","7872025480.709","39817309.045","438699659.833","58493287.978","0","0","411"
"405","41","4","640571685.652064","3134099.459712","812043.728046","13268798.785128","13268798.785128","8327431913.477","40743292.976","457773558.087","61036474.412","0","0","411"
"406","41","5","675602949.711161","3205328.992888","840045.235909","13821665.401175","13821665.401175","8782838346.245","41669276.908","476847456.341","63579660.845","0","0","411"
"407","41","6","710634213.770259","3276558.526063","868046.743773","14374532.017222","14374532.017222","9238244779.013","42595260.839","495921354.594","66122847.279","0","0","411"
"408","41","7","745665477.829356","3347788.059238","896048.251637","14927398.633269","14927398.633269","9693651211.782","43521244.77","514995252.848","68666033.713","0","0","411"
"409","41","8","780696741.888453","3419017.592413","924049.7595","15480265.249316","15480265.249316","10149057644.55","44447228.701","534069151.101","71209220.147","0","0","411"
"410","41","9","815728005.94755","3490247.125589","952051.267364","16033131.865363","16033131.865363","10604464077.318","45373212.633","553143049.355","73752406.581","0","0","411"
"411","42","0","825736938.535864","4131312.924166","980052.775227","16585998.48141","16585998.48141","10734580200.966","53707068.014","572216947.609","76295593.014","2147483647","2147483647","421"
"412","42","1","883538524.233374","4234595.74727","1019254.886237","17415298.405481","17415298.405481","11486000815.034","55049744.715","600827794.989","80110372.665","0","0","421"
"413","42","2","941340109.930885","4337878.570375","1058456.997246","18244598.329551","18244598.329551","12237421429.102","56392421.415","629438642.37","83925152.316","0","0","421"
"414","42","3","999141695.628395","4441161.393479","1097659.108255","19073898.253622","19073898.253622","12988842043.169","57735098.115","658049489.75","87739931.967","0","0","421"
"415","42","4","1000000000","4544444.216583","1136861.219264","19903198.177692","19903198.177692","13000000000","59077774.816","686660337.13","91554711.617","0","0","421"
"416","42","5","1000000000","4647727.039687","1176063.330273","20732498.101763","20732498.101763","13000000000","60420451.516","715271184.511","95369491.268","0","0","421"
"417","42","6","1000000000","4751009.862791","1215265.441282","21561798.025833","21561798.025833","13000000000","61763128.216","743882031.891","99184270.919","0","0","421"
"418","42","7","1000000000","4854292.685895","1254467.552291","22391097.949904","22391097.949904","13000000000","63105804.917","772492879.272","102999050.57","0","0","421"
"419","42","8","1000000000","4957575.509","1293669.6633","23220397.873974","23220397.873974","13000000000","64448481.617","801103726.652","106813830.22","0","0","421"
"420","42","9","1000000000","5060858.332104","1332871.774309","24049697.798045","24049697.798045","13000000000","65791158.317","829714574.033","110628609.871","0","0","421"
"421","43","0","1000000000","5990403.740041","1372073.885318","24878997.722115","24878997.722115","13000000000","77875248.621","858325421.413","114443389.522","2147483647","2147483647","431"
"422","43","1","1000000000","6140163.833542","1426956.840731","26122947.608221","26122947.608221","13000000000","79822129.836","901241692.484","120165558.998","0","0","431"
"423","43","2","1000000000","6289923.927043","1481839.796144","27366897.494327","27366897.494327","13000000000","81769011.052","944157963.554","125887728.474","0","0","431"
"424","43","3","1000000000","6439684.020544","1536722.751557","28610847.380432","28610847.380432","13000000000","83715892.267","987074234.625","131609897.95","0","0","431"
"425","43","4","1000000000","6589444.114045","1591605.706969","29854797.266538","29854797.266538","13000000000","85662773.483","1029990505.696","137332067.426","0","0","431"
"426","43","5","1000000000","6739204.207546","1646488.662382","31098747.152644","31098747.152644","13000000000","87609654.698","1072906776.766","143054236.902","0","0","431"
"427","43","6","1000000000","6888964.301047","1701371.617795","32342697.03875","32342697.03875","13000000000","89556535.914","1115823047.837","148776406.378","0","0","431"
"428","43","7","1000000000","7038724.394548","1756254.573208","33586646.924855","33586646.924855","13000000000","91503417.129","1158739318.908","154498575.854","0","0","431"
"429","43","8","1000000000","7188484.488049","1811137.52862","34830596.810961","34830596.810961","13000000000","93450298.345","1201655589.978","160220745.33","0","0","431"
"430","43","9","1000000000","7338244.58155","1866020.484033","36074546.697067","36074546.697067","13000000000","95397179.56","1244571861.049","165942914.807","0","0","431"
"431","44","0","1000000000","8686085.42306","1920903.439446","37318496.583173","37318496.583173","13000000000","112919110.5","1287488132.119","171665084.283","2147483647","2147483647","441"
"432","44","1","1000000000","8903237.558636","1997739.577024","39184421.412331","39184421.412331","13000000000","115742088.262","1351862538.725","180248338.497","0","0","441"
"433","44","2","1000000000","9120389.694213","2074575.714602","41050346.24149","41050346.24149","13000000000","118565066.025","1416236945.331","188831592.711","0","0","441"
